"address","mirrorAddress","votes","available","poolAddress","isPoSNode"
"cfx:aarfy74fn75afvnn8nd0ypk2myuebdwejue3t8nuax","0xc21f73DE4D1231BBFDc0A48E05ddaDd5c4D8B83E","20","20","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aapzd5gk63dcx4gt5mgnhsn0ajmc6w8f921v2135ep","0xd2ad93789285a34a84EC42E51fEdfBa94Bde7823","113","113","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aas33xnnfjjfadgb17awbpaw2acbnhaa2ehcb0rjs2","0xF1B376b584C76d2fb4F5c8735aEdE7533AE55bc1","22","22","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aam9k5530n1xpspmp7z3109edc3av149zpfjen17ad","0x93c6238950a5517b82873e44C307900b4AE66EbB","6","6","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aajsk18x592pzcjbc3buundsmnhtmjpfg60zxkb4p9","0x960281ED6FC0A6dc3bdF0D7025d9d9472dbb825A","4","4","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aajuk9w9pstrpu5mb1b2umzad03umcgc1ea1495bne","0xd9f811da3C2Cb785f36d16514072d053B90BC840","11","11","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aasa0az1spuvkjbveedx16rajg03feybpy9cgx4ak5","0x2905789b5e8E635339104C34607eb76F5ea47a24","5","5","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aar04mwch1ceym6v44azcxtw0er7hm61be16ytfkp8","0x4101DEf586C985BBb76387a67A8c5ABdA37bFa6c","38","38","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aajv42ga3hn2aktsv6v6k1etj4yecta6dp5yzv9ar6","0x522F59D7c1e6Bbd5D223DAB5E3793cd4A1EEeEba","5","5","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aakbn9uvsfw74bct7acbwwcjj0d9f4kw2juw2dm4ba","0x3661DDDfCf75d498F78cafb97c68e4522C00B056","1","1","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aat1p7t9wkpwygk7gw3ze66bjjx45102p2zbdywuaz","0x8bDa60917e779a77A1402Ae8aF744aD3A68Fd20E","6","6","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aaszps3hdszbtem8r8ff2s2ye6jskwsbvp35s7vj5p","0xA28826dE127a707e4512B7fb4F295834D6583D06","1","1","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aamw7pba7ggzvh67gx4dy3c7c3ex7j81p6xrh159at","0xFCc73071E95B404D023e8FF3C2daa3EF846fCC0e","2","2","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aam4ppxduk761f7mgmu9bc3mdw0pjy3saj0tpwsdsk","0xF556CE3233BcC99bD89a50c6A0dD2f51b8712eA5","9","9","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aamfghjbk67g0bevu99ne3sse2gay0bcbuhn6zn7sc","0xF1C628Cb95B8FB75Df025042c77cb15347eAF59A","1","1","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aanr3gcj4jtwr9ane349tu6gu2uyb79tdj2b8z6wcu","0x56F3122C52c5e58ea9D50c54b784b9A042aDe70d","4","4","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aargxa3kkm03bth7tggknhnss09hz1jewenv96d4mg","0x0afeab5901C2EA8E1963507a38d14aa1Fd581A01","112","112","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aajd7mzwtd6vt43gad9uann0r7fkkb4r3av75rekdr","0x0A649F76A1c006c4f35288Be9D2C6634550a2a40","26","26","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aatdsj4p0jw8ttk3w6cjks7tmnnwdcc19pbx62t8mf","0xb84c560De18aF8B116C6B420c99261DC91379591","51","51","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aasjdfa0037kyh5bz2mcrznefdu4u9jpzjxdm2us60","0xf118F0a1A0B489e10cf0b7685Ea9cA686C1eC698","1","1","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aam187dfpbnpe8f1b81mbtw7h879p1d5per7c888rf","0xB0525AFfA945E50e10dcC0D703a48e274AE901ac","19","19","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aas5s62yp6fnsygvyvdyzdeh163x9bp4fyeebxuutx","0xFBEccb928115EBA716307F47bA56aBfb71a76020","9","9","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aan0ncy8wdxfrja1gxw47zd6f8ejr95bjuu6urrswd","0x85Ee2378Ef0831c55880eC9E14e883EC72172829","20","20","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aansafw33w2gevp41f5r934w2h4zbxevp2dkmy9s55","0xc7Ac0eeAF329d71be1fe2980fd2baC679329a708","76","76","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aapcm2ascby3pcwn074c2rsa1k7nf0wt6y447u9jm3","0x78b32B8B87C49A9aC6d47aDA151FB4Dbab5bb7B8","2","2","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aam1v406rz0wmn4ykwuzwurytrz4bpz6xe0axvpb7k","0x88F9a3Eb509B11C1D7C3ed8935ce53d6ad3AafF9","2","2","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aapf4zmvgh8aaat81nk7b3nf6zg6t2mphag2rrtf0a","0xA80e81B719504500216B4B746C5E97b85514838d","30","30","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aakytckzj98xd3nwhy27wd2dr4fhdug3v2nwh99e2x","0x26179C2DCD3Db09052F991e8C870484B67ac7afC","2","2","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aambkcrnzv8yvf5hc6nzfxx347h4b30gbys0p9cy9y","0x52411136DcF4c2f63f7313ad306137f59aDA1cD6","1","1","cfx:acg8dkfxd88hdr5bgjf9p78mh32pemprbjn84beuhj",false
"cfx:aap6du616ymu3wmbdncme4yw18htky3xb6jn1v85x0","0x7d3053E2B91F88B8aae404EA437e2fcb3ABAc85A","590","590","cfx:acg8dkfxd88hdr5bgjf9p78mh32pemprbjn84beuhj",false
"cfx:aan1knc6rv5zuecdmxpb4ek51f2wt218ge301bchz8","0x8FBD063E1098A0A1dBF82364f5Fd2792d9D3fB9E","219","219","cfx:acg8dkfxd88hdr5bgjf9p78mh32pemprbjn84beuhj",false
"cfx:aastfmmzvmhztjwhebwujzve0tpyptjwaaevc1y7vx","0xf3478C6A47aa06998AdeA552F04662399738E363","7","7","cfx:acg8dkfxd88hdr5bgjf9p78mh32pemprbjn84beuhj",false
"cfx:aajwhhs7jrrt5tdrrv89rsp3wfwx6g6x92dpbgnmfx","0xF4375286c2BB7FC57aEdF866510686176d573563","6","6","cfx:acg8dkfxd88hdr5bgjf9p78mh32pemprbjn84beuhj",false
"cfx:aandv0es75mr65vkvb4tpp32ahtzkfbg327btbe8pd","0x8AEf630f2d6b653221b4e006236287cb9905B7b4","8","8","cfx:acg8dkfxd88hdr5bgjf9p78mh32pemprbjn84beuhj",false
"cfx:aaja49m2tz6jpf472w76ht6j46be9pmpkedptyar9z","0xd70eE2fb7976FDe727ec6DD4F566363bf485ec99","81","81","cfx:acg8dkfxd88hdr5bgjf9p78mh32pemprbjn84beuhj",false
"cfx:aak5uwy6mfk2tnn8d4dkvj7xn0ygecrkkuge31tkf3","0x1c6f3cCa45D0230A4CEb985F5D9dc31Ac006E673","2","2","cfx:acg8dkfxd88hdr5bgjf9p78mh32pemprbjn84beuhj",false
